Data,Otwarcie,Zamkniecie
2020-03-13,1334.37,1365.97
2020-03-16,1342.4,1341.54
2020-03-17,1370.79,1429.28
2020-03-18,1425.27,1401.29
2020-03-19,1406.71,1469.43
2020-03-20,1502.14,1488.42
2020-03-23,1461.22,1405.45
2020-03-24,1449.34,1451.02
2020-03-25,1487.75,1441.83
2020-03-26,1431.53,1492.01
2020-03-27,1494.31,1475.9
2020-03-30,1482.1,1477.65
2020-03-31,1486.89,1512.84
2020-04-01,1495.43,1482.42
2020-04-02,1490.41,1491.55
2020-04-03,1492.1,1506.48
2020-04-06,1534.81,1581.05
2020-04-07,1602.14,1603.5
2020-04-08,1602.33,1579.18
2020-04-09,1596.79,1615.72
2020-04-14,1631.5,1662.4
2020-04-15,1669.23,1606.21
2020-04-16,1610.81,1597.9
2020-04-17,1618.42,1625.59
2020-04-20,1629.69,1640.06
2020-04-21,1631.4,1573.44
2020-04-22,1574.07,1605.12
2020-04-23,1609.41,1626.1
2020-04-24,1617.91,1601.91
2020-04-27,1614.29,1591.97
2020-04-28,1590.34,1594.25
2020-04-29,1601.65,1651.33
2020-04-30,1661.23,1648.68
2020-05-04,1630.24,1600.65
2020-05-05,1609.04,1598.84
2020-05-06,1604.6,1567.98
2020-05-07,1572.16,1587.35
2020-05-08,1600.54,1606.5
2020-05-11,1614.21,1587.31
2020-05-12,1589.69,1622.51
2020-05-13,1615.9,1614.32
2020-05-14,1605.68,1579.16
2020-05-15,1585.51,1572.55
2020-05-18,1585.92,1639.08
2020-05-19,1651.08,1640.18
2020-05-20,1640.26,1652.64
2020-05-21,1651.03,1637.84
2020-05-22,1632.27,1630.44
2020-05-25,1639.26,1644.74
2020-05-26,1657.26,1709.71
2020-05-27,1713.73,1707.59
2020-05-28,1722.43,1718.45
2020-05-29,1718.19,1722.65
2020-06-01,1733.13,1733.52
2020-06-02,1735.86,1736.36
2020-06-03,1741.91,1766.85
2020-06-04,1765.6,1786.58
2020-06-05,1794.38,1842.47
2020-06-08,1842.22,1841.25
2020-06-09,1848.11,1835.59
2020-06-10,1840.1,1841.18
2020-06-12,1792.35,1788.83
2020-06-15,1767.35,1741.47
2020-06-16,1765.17,1798
2020-06-17,1807.91,1787.81
2020-06-18,1787.9,1795.86
2020-06-19,1791.68,1807.85
2020-06-22,1805.25,1797.05
2020-06-23,1807.1,1825.99
2020-06-24,1830.39,1784.23
2020-06-25,1781.84,1793.36
2020-06-26,1799.33,1759.43
2020-06-29,1758.46,1769.47
2020-06-30,1770.24,1758.82
2020-07-01,1760.72,1772.38
2020-07-02,1778.45,1804.01
2020-07-03,1811.07,1800.96
2020-07-06,1820.81,1818.55
2020-07-07,1816.46,1800.93
2020-07-08,1797.88,1788.22
2020-07-09,1791.68,1791.68
2020-07-10,1781.84,1797.27
2020-07-13,1806.55,1801.64
2020-07-14,1797.85,1771.7
2020-07-15,1783.18,1794.78
2020-07-16,1791.04,1799.08
2020-07-17,1800.7,1796.04
2020-07-20,1795.09,1840.6
2020-07-21,1852.56,1845.34
2020-07-22,1844.74,1830.61
2020-07-23,1837.64,1820.25
2020-07-24,1809.5,1810.33
2020-07-27,1811.4,1830.87
2020-07-28,1831.03,1823.52
2020-07-29,1819.4,1824.53
2020-07-30,1827.17,1763.22
2020-07-31,1767.31,1767.54
2020-08-03,1769.31,1804.38
2020-08-04,1813.7,1811.46
2020-08-05,1819.96,1833.2
2020-08-06,1834.67,1818.64
2020-08-07,1818.62,1817.23
2020-08-10,1822.48,1823.15
2020-08-11,1830.21,1847.73
2020-08-12,1848.54,1855.86
2020-08-13,1856.65,1858.35
2020-08-14,1857.47,1856.56
2020-08-17,1856.46,1862.12
2020-08-18,1859.11,1840.33
2020-08-19,1838.62,1833.22
2020-08-20,1829.52,1815.03
2020-08-21,1824.52,1820.6
2020-08-24,1830.14,1841.46
2020-08-25,1847.98,1821.29
2020-08-26,1817.91,1848.35
2020-08-27,1846.42,1846.5
2020-08-28,1842.36,1829.79
2020-08-31,1832.66,1800.21
2020-09-01,1803.77,1772.61
2020-09-02,1777.15,1785.44
2020-09-03,1787.62,1769.19
2020-09-04,1754.65,1758.11
2020-09-07,1765.37,1772.85
2020-09-08,1778.86,1733.88
2020-09-09,1735.58,1773.37
2020-09-10,1776.48,1764.86
2020-09-11,1767.42,1772.89
2020-09-14,1783.55,1758.65
2020-09-15,1760.55,1743.93
2020-09-16,1746.94,1738.1
2020-09-17,1736.81,1745.73
2020-09-18,1745.91,1731.76
2020-09-21,1724.89,1682.26
2020-09-22,1689.6,1693.09
2020-09-23,1701.26,1685.4
2020-09-24,1677.73,1665.96
2020-09-25,1666.65,1674.14
2020-09-28,1686.57,1738.44
2020-09-29,1737.48,1718.21
2020-09-30,1713.01,1712.73
2020-10-01,1719.55,1694.18
2020-10-02,1690.04,1697.39
2020-10-05,1710.14,1731.85
2020-10-06,1739.86,1735.45
2020-10-07,1736.62,1736.61
2020-10-08,1742.29,1719.91
2020-10-09,1718.45,1698.91
2020-10-12,1701.76,1683.21
2020-10-13,1685.25,1660.12
2020-10-14,1658.04,1670.26
2020-10-15,1660.64,1627.59
2020-10-16,1635.02,1655.36
2020-10-19,1663.75,1648.11
2020-10-20,1647.95,1656.34
2020-10-21,1656.97,1641.42
2020-10-22,1634.69,1642.7
2020-10-23,1643.34,1645.32
2020-10-26,1635.49,1631.66
2020-10-27,1635.42,1625.54
2020-10-28,1605.43,1549.74
2020-10-29,1557.47,1542.76
2020-10-30,1528.78,1515.97
2020-11-02,1526.2,1556.14
2020-11-03,1564.86,1636.28
2020-11-04,1622.29,1640.94
2020-11-05,1654.61,1670.43
2020-11-06,1665.72,1697.49
2020-11-09,1707.52,1765.71
2020-11-10,1768.9,1779.34
2020-11-12,1777.24,1771.49
2020-11-13,1768.19,1749.41
2020-11-16,1764.1,1799.02
2020-11-17,1797.57,1793.56
2020-11-18,1792.17,1810.43
2020-11-19,1803.49,1789.79
2020-11-20,1788.48,1820.85
2020-11-23,1835.53,1832.04
2020-11-24,1841.11,1859.42
2020-11-25,1866.15,1860.15
2020-11-26,1865.67,1849.57
2020-11-27,1846.73,1852.69
2020-11-30,1845.96,1830.04
2020-12-01,1844.33,1853.38
2020-12-02,1855.33,1897.97
2020-12-03,1900.94,1890.11
2020-12-04,1894.4,1947.68
2020-12-07,1949.61,1958.53
2020-12-08,1941.14,1970.27
2020-12-09,1976.65,1994.12
2020-12-10,1995.63,1984
2020-12-11,1985.51,1950.85
2020-12-14,1956.48,1939.07
2020-12-15,1938.79,1955.69
2020-12-16,1963.84,1985.26
2020-12-17,1997.91,1975.76
2020-12-18,1981.62,1952.54
2020-12-21,1929.14,1888.8
2020-12-22,1896.48,1928.4
2020-12-23,1934.03,1955.84
2020-12-28,1969.45,2004.41
2020-12-29,2015.02,2016.01
2020-12-30,2019.48,1983.98
2021-01-04,1994.28,2008.75
2021-01-05,2004.64,2009.12
2021-01-07,2040.48,2074.11
2021-01-08,2080.5,2072.74
2021-01-11,2067.33,2066.97
2021-01-12,2073.81,2043.73
2021-01-13,2050.24,2023.36
2021-01-14,2023.83,2031.71
2021-01-15,2026.35,1985.68
2021-01-18,1985.59,2023.74
2021-01-19,2034.26,1980.12
2021-01-20,1983.49,1986.09
2021-01-21,1997.58,1953.49
2021-01-22,1945.01,1952.67
2021-01-25,1961.37,1945.78
2021-01-26,1936.78,1981.98
2021-01-27,1981.07,1929.21
2021-01-28,1913.71,1987.83
2021-01-29,1965.76,1948.01
2021-02-01,1960.96,1967.72
2021-02-02,1973.17,1954.02
2021-02-03,1961.77,1940.69
2021-02-04,1945.6,1927.02
2021-02-05,1937.72,1957.73
2021-02-08,1970.16,1952.1
2021-02-09,1954.67,1941.6
2021-02-10,1947.63,1917.54
2021-02-11,1922.62,1954.92
2021-02-12,1951.43,1937.07
2021-02-15,1946.97,1974.82
2021-02-16,1977.89,2004.54
2021-02-17,2005.98,1986.8
2021-02-18,1990.16,1980.77
2021-02-19,1985.99,1985.31
2021-02-22,1978.7,1961.62
2021-02-23,1969.01,1922.59
2021-02-24,1926.18,1937.9
2021-02-25,1955.61,1936.47
2021-02-26,1912.25,1907.28
2021-03-01,1925.94,1949.57
2021-03-02,1947.45,1959.52
2021-03-03,1963.17,1943.24
2021-03-04,1935.36,1944.86
2021-03-05,1940.32,1939.59
2021-03-08,1950.85,1965.25
2021-03-09,1966.81,1994.18
2021-03-10,1997.63,2003.55
2021-03-11,2012.36,1994.38
2021-03-12,1993.99,2006.11
2021-03-15,2012.38,2001.24
2021-03-16,2005.15,1981.41
2021-03-17,1976.47,1939.01
2021-03-18,1941.91,1960.75
2021-03-19,1950.51,1927.56
2021-03-22,1921.5,1929.12
2021-03-23,1933.56,1923.55
2021-03-24,1910.28,1899.95
2021-03-25,1901.84,1876.85
2021-03-26,1891.11,1918.71
2021-03-29,1922.29,1953.02
2021-03-30,1963.34,1942.32
2021-03-31,1949,1938.84
2021-04-01,1942.53,1954.38
2021-04-06,1965.18,2012.87
2021-04-07,2012.08,1998.73
2021-04-08,2004.55,1980.32
2021-04-09,1981.23,1975.11
2021-04-12,1975.05,1982.58
2021-04-13,1983.4,1974.73
2021-04-14,1986.19,2011.96
2021-04-15,2015.11,2019.29
2021-04-16,2019.5,2012.27
2021-04-19,2016.04,1998.99
2021-04-20,2001.93,1987.76
2021-04-21,1987.94,1982.4
2021-04-22,1986.54,1989.73
2021-04-23,1990.18,1986.63
2021-04-26,1994.54,2005.1
2021-04-27,2006.17,1998.92
2021-04-28,2000.4,2029.64
2021-04-29,2043.59,2050.69
2021-04-30,2061,2037.59
2021-05-04,2046.24,2004.04
2021-05-05,2015.97,2047.36
2021-05-06,2053.2,2046.67
2021-05-07,2061.36,2097.31
2021-05-10,2115.79,2115.7
